make;price;mpg;foreign
"AMC Concord";4099;22;0
"AMC Pacer";4749;17;0
"AMC Spirit";3799;22;0
"Buick Century";4816;20;0
"Buick Electra";7827;15;0
"Buick LeSabre";5788;18;0
"Buick Opel";4453;26;0
"Buick Regal";5189;20;0
"Buick Riviera";10372;16;0
"Buick Skylark";4082;19;0
"Cad. Deville";11385;14;0
"Cad. Eldorado";14500;14;0
"Cad. Seville";15906;21;0
"Chev. Chevette";3299;29;0
"Chev. Impala";5705;16;0
"Chev. Malibu";4504;22;0
"Chev. Monte Carlo";5104;22;0
"Chev. Monza";3667;24;0
"Chev. Nova";3955;19;0
"Dodge Colt";3984;30;0
"Dodge Diplomat";4010;18;0
"Dodge Magnum";5886;16;0
"Dodge St. Regis";6342;17;0
"Ford Fiesta";4389;28;0
"Ford Mustang";4187;21;0
"Linc. Continental";11497;12;0
"Linc. Mark V";13594;12;0
"Linc. Versailles";13466;14;0
"Merc. Bobcat";3829;22;0
"Merc. Cougar";5379;14;0
"Merc. Marquis";6165;15;0
"Merc. Monarch";4516;18;0
"Merc. XR-7";6303;14;0
"Merc. Zephyr";3291;20;0
"Olds 98";8814;21;0
"Olds Cutl Supr";5172;19;0
"Olds Cutlass";4733;19;0
"Olds Delta 88";4890;18;0
"Olds Omega";4181;19;0
"Olds Starfire";4195;24;0
"Olds Toronado";10371;16;0
"Plym. Arrow";4647;28;0
"Plym. Champ";4425;34;0
"Plym. Horizon";4482;25;0
"Plym. Sapporo";6486;26;0
"Plym. Volare";4060;18;0
"Pont. Catalina";5798;18;0
"Pont. Firebird";4934;18;0
"Pont. Grand Prix";5222;19;0
"Pont. Le Mans";4723;19;0
"Pont. Phoenix";4424;19;0
"Pont. Sunbird";4172;24;0
"Audi 5000";9690;17;1
"Audi Fox";6295;23;1
"BMW 320i";9735;25;1
"Datsun 200";6229;23;1
"Datsun 210";4589;35;1
"Datsun 510";5079;24;1
"Datsun 810";8129;21;1
"Fiat Strada";4296;21;1
"Honda Accord";5799;25;1
"Honda Civic";4499;28;1
"Mazda GLC";3995;30;1
"Peugeot 604";12990;14;1
"Renault Le Car";3895;26;1
"Subaru";3798;35;1
"Toyota Celica";5899;18;1
"Toyota Corolla";3748;31;1
"Toyota Corona";5719;18;1
"Volvo 260";11995;17;1
